#Table1
objid,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,redshift,velDisp
1237648721752359194,145.249902649505,0.261812843752715,19.80457,18.42329,17.54619,17.14636,16.77332,0.1256738,75.70586
1237648721752424631,145.288576518018,0.34651158023804,19.22352,18.00232,17.37943,17.0111,16.76524,0.06460119,47.17729
1237650797293535398,145.663598882417,0.97367241833886,18.87798,17.59862,16.8619,16.41427,16.11835,0.1353705,107.0174
1237650796219859143,145.827967598123,0.193233420381656,19.87867,17.80488,16.64135,16.16825,15.7715,0.125227,245.5262
1237678617432359093,33.137527061585,1.08438402972246,20.16224,18.62208,17.78842,17.3654,17.05623,0.1009954,100.4029
1237672842282401924,1.59785103978922,-5.15943250773368,18.98974,17.66657,16.74562,16.23713,15.90637,0.1661807,0
1237672842282336413,1.46134929238022,-5.03159177328237,21.37646,19.0346,17.67652,17.17733,16.76468,0.2112218,162.1698
1237668299275698318,179.727423998466,20.7648665039883,20.46992,18.97914,17.7284,17.18083,16.79242,0.1609715,135.5741
1237667113335718103,147.20049583003,27.2785464477953,21.20917,19.24517,17.78925,17.28246,16.93912,0.2419254,239.2106
1237665442595471454,210.282682643605,28.0338041096494,17.82551,16.91953,16.6957,16.49644,16.40722,0.03676874,62.63136
1237665429169307865,209.852665159934,27.9928742874684,20.01265,18.19068,17.28907,16.89929,16.60546,0.07189181,102.8038
1237665429169307845,209.837265053547,27.9769339014832,20.38104,18.4907,17.62608,17.24415,16.91201,0.07067134,88.181
1237665429169307667,209.913937294425,28.0612198951206,16.75755,15.07915,14.42294,14.08011,13.83432,0.03644953,80.61943
1237665429169242633,209.843570053193,28.0361455300825,20.1481,18.39968,17.52125,17.12206,16.83021,0.07576131,100.204
1237665429169242600,209.784887135937,27.9170212155747,18.96986,16.93404,16.02187,15.61033,15.27516,0.07567096,166.9954
1237665429169242595,209.774490364586,27.8790428283984,20.04763,18.51331,17.65976,17.18557,16.82898,0.06330445,97.96761
1237665429169242591,209.79060308967,27.950087304307,20.0133,18.09325,17.15608,16.72014,16.35261,0.08036856,287.3484
1237665429169242498,209.819845333126,27.9674580246305,20.91669,18.70315,17.71007,17.25144,16.90656,0.07501932,164.9817
1237665429169242478,209.768033175328,27.9441841221236,19.31068,17.32721,16.44362,16.03849,15.68188,0.06079439,155.227
1237665429169242437,209.786938042363,28.0565740826293,17.58425,15.57152,14.66683,14.24319,13.92582,0.06565078,203.3325
1237665429169242434,209.749922040606,27.9371379102704,19.72802,17.83203,16.96118,16.57136,16.24613,0.07348948,127.6135
1237665429169242409,209.766771165795,28.0396693633086,20.06779,18.32599,17.50731,17.14268,16.8886,0.0621855,79.22662
1237665429169242399,209.769663927181,28.082522340795,20.53886,18.64311,17.75315,17.29241,16.96611,0.07505562,108.1542
1237665429169242393,209.744106121363,27.9824020088792,20.21745,18.10795,17.19874,16.76706,16.42676,0.08272339,135.6152
1237665429169242382,209.741340877622,28.0188091838462,19.77969,17.97481,17.19674,16.83897,16.58006,0.06467345,50.39164
1237665429169242369,209.726664164663,27.9443417516048,18.91914,16.94942,16.04105,15.64396,15.30965,0.07659362,128.9629
1237665429169242356,209.749544337409,28.0678613101033,18.95428,16.78961,15.85018,15.43384,15.10594,0.06280691,161.3572
1237665429169242344,209.720998886761,27.9850125009708,19.04367,17.15616,16.28167,15.86748,15.55238,0.05964175,137.0873
1237665429169242329,209.728813539107,28.0425888838168,19.56449,18.14257,17.52321,17.18849,16.8487,0.06327463,51.54501
1237665331469222011,201.986074107558,32.2867242167831,19.60326,18.3034,17.59792,17.24552,16.97403,0.1006252,33.20925
1237665331469221976,201.968233705277,32.4127521726676,19.67751,17.84494,17.0179,16.6496,16.35425,0.0798113,91.14371
1237665331469221943,201.877669941883,32.3503571614325,19.31349,17.78949,16.95399,16.56593,16.31024,0.100084,51.05563
1237665330932416739,202.057080882753,31.8839101644181,18.87838,17.26357,16.50024,16.11515,15.83617,0.08040714,110.958
1237665330932416725,202.039421664473,31.8905097251804,20.40141,18.45155,17.24549,16.75537,16.43261,0.1863611,200.5824
1237665330932416692,202.016057974066,31.9135397708167,19.20307,18.15397,17.71681,17.41055,17.25678,0.06370077,0
1237665330932351140,201.860198849973,31.8318487157245,20.90763,18.9835,17.58885,17.00877,16.66284,0.235331,254.1657
1237665330932351090,201.919727641522,31.8130627409379,18.1557,17.03693,16.58268,16.30328,16.11388,0.03854864,27.94499
1237665330932351044,201.83661452059,31.8085057299202,18.26723,16.35722,15.45854,14.99855,14.6561,0.0427754,181.4754
1237665330395611259,202.193444532286,31.3258102563629,19.51433,18.10456,17.31892,16.91053,16.61975,0.135301,100.5165
1237665330395611217,202.10323631585,31.4951107798922,19.83624,18.56091,17.55132,17.0823,16.75604,0.2078401,225.3395
1237665330395545721,202.023191451471,31.4444193727243,17.72175,16.99224,16.48909,16.67659,16.23586,0.03390151,52.43547
1237665330395545714,201.990614319846,31.3619609098914,19.86689,18.15838,17.40592,17.04425,16.74481,0.1303173,137.2537
1237665330395545675,201.904918832068,31.3943731297585,18.82393,17.15275,16.2708,15.86738,15.54987,0.1351309,188.5247
1237665330395480219,201.859542052176,31.5214890840868,20.46596,18.49519,17.21565,16.71124,16.40609,0.208196,206.0289
1237665330395480209,201.844656467585,31.5122649039902,18.84419,17.58194,17.03988,16.7838,16.57657,0.1303045,146.1285
1237665330395480203,201.836237806916,31.4800232276853,21.30156,18.99366,17.49458,16.93665,16.58374,0.2374226,254.0242
1237665330395480123,201.829079399713,31.5855864646967,20.02614,18.2605,17.34422,16.89195,16.54368,0.09221746,163.5709
1237665330395414713,201.565610407124,31.4297681698728,18.71786,17.39158,16.89068,16.63889,16.51493,0.01654857,117.4177
1237665330395414660,201.682406258779,31.5842773755543,20.35853,18.47655,17.51301,17.02502,16.70259,0.1314195,150.382
1237665330395414618,201.564364387665,31.4622323051503,19.07502,17.93599,17.49948,17.21821,17.09983,0.05777741,0
1237665329858674756,201.884865825112,31.1176907581557,18.47135,17.20294,16.59632,16.21325,15.98042,0.07634287,84.20743
1237665329858609218,201.699925590688,31.113992310325,18.41911,17.37348,16.96486,16.73149,16.51353,0.04208823,66.00504
1237665329858543673,201.516240506535,31.1743328265569,19.83547,18.3614,17.53644,17.10972,16.77495,0.06215797,82.7541
1237665228385550453,202.259390744711,32.4432551623042,20.63338,18.57833,17.52827,17.08825,16.80316,0.1411293,112.2016
1237665228385484922,202.161958419049,32.4559495964103,19.49206,18.15276,17.62367,17.30651,17.09696,0.07974392,0
1237665227848613961,201.993698499798,32.0298650415413,20.58463,18.76486,17.61359,17.15899,16.81605,0.1575383,172.7751
